date,trends_gripe_es,trends_resfriado_es,trends_paracetamol_es,trends_bronquitis_es,trends_tos_es,trends_inhalador_es,trends_flu_eu,trends_cold_eu,trends_paracetamol_eu,trends_bronchitis_eu,trends_cough_eu,trends_inhaler_eu
2012-01-01,7.000000000000001,39.0,21.0,51.0,22.0,25.0,14.000000000000002,33.0,18.0,0.0,17.0,0.0
2012-01-08,,,,,,,,,,,,
2012-01-15,,,,,,,,,,,,
2012-01-22,,,,,,,,,,,,
2012-01-29,,,,,,,,,,,,
2012-02-05,9.0,40.0,23.0,53.0,25.0,28.000000000000004,12.0,40.0,18.0,0.0,32.0,0.0
2012-02-12,,,,,,,,,,,,
2012-02-19,,,,,,,,,,,,
2012-02-26,,,,,,,,,,,,
2012-03-04,5.0,28.000000000000004,19.0,42.0,21.0,25.0,9.0,34.0,19.0,0.0,34.0,0.0
2012-03-11,,,,,,,,,,,,
2012-03-18,,,,,,,,,,,,
2012-03-25,,,,,,,,,,,,
2012-04-01,3.0,20.0,17.0,30.0,17.0,26.0,6.0,32.0,14.000000000000002,0.0,20.0,0.0
2012-04-08,,,,,,,,,,,,
2012-04-15,,,,,,,,,,,,
2012-04-22,,,,,,,,,,,,
2012-04-29,,,,,,,,,,,,
2012-05-06,2.0,18.0,17.0,26.0,16.0,25.0,6.0,43.0,14.000000000000002,0.0,19.0,0.0
2012-05-13,,,,,,,,,,,,
2012-05-20,,,,,,,,,,,,
2012-05-27,,,,,,,,,,,,
2012-06-03,1.0,11.0,17.0,19.0,13.0,24.0,7.000000000000001,30.0,15.0,0.0,16.0,0.0
2012-06-10,,,,,,,,,,,,
2012-06-17,,,,,,,,,,,,
2012-06-24,,,,,,,,,,,,
2012-07-01,1.0,10.0,17.0,15.0,11.0,17.0,4.0,27.0,16.0,0.0,20.0,0.0
2012-07-08,,,,,,,,,,,,
2012-07-15,,,,,,,,,,,,
2012-07-22,,,,,,,,,,,,
2012-07-29,,,,,,,,,,,,
2012-08-05,1.0,13.0,17.0,16.0,12.0,16.0,6.0,30.0,15.0,0.0,0.0,0.0
2012-08-12,,,,,,,,,,,,
2012-08-19,,,,,,,,,,,,
2012-08-26,,,,,,,,,,,,
2012-09-02,3.0,27.0,18.0,23.0,16.0,17.0,6.0,28.000000000000004,18.0,0.0,26.0,0.0
2012-09-09,,,,,,,,,,,,
2012-09-16,,,,,,,,,,,,
2012-09-23,,,,,,,,,,,,
2012-09-30,,,,,,,,,,,,
2012-10-07,7.000000000000001,43.0,20.0,37.0,21.0,25.0,8.0,33.0,19.0,0.0,16.0,0.0
2012-10-14,,,,,,,,,,,,
2012-10-21,,,,,,,,,,,,
2012-10-28,,,,,,,,,,,,
2012-11-04,5.0,35.0,20.0,45.0,23.0,28.999999999999996,9.0,32.0,19.0,0.0,22.0,0.0
2012-11-11,,,,,,,,,,,,
2012-11-18,,,,,,,,,,,,
2012-11-25,,,,,,,,,,,,
2012-12-02,4.0,39.0,21.0,54.0,26.0,20.0,7.000000000000001,31.0,21.0,0.0,28.000000000000004,0.0
2012-12-09,,,,,,,,,,,,
2012-12-16,,,,,,,,,,,,
2012-12-23,,,,,,,,,,,,
2012-12-30,,,,,,,,,,,,
2013-01-06,7.000000000000001,44.0,26.0,53.0,26.0,26.0,10.0,34.0,23.0,0.0,20.0,0.0
2013-01-13,,,,,,,,,,,,
2013-01-20,,,,,,,,,,,,
2013-01-27,,,,,,,,,,,,
2013-02-03,10.0,44.0,28.999999999999996,55.00000000000001,27.0,30.0,11.0,28.000000000000004,25.0,69.0,28.000000000000004,0.0
2013-02-10,,,,,,,,,,,,
2013-02-17,,,,,,,,,,,,
2013-02-24,,,,,,,,,,,,
2013-03-03,6.0,33.0,25.0,44.0,24.0,36.0,11.0,28.999999999999996,22.0,57.99999999999999,20.0,0.0
2013-03-10,,,,,,,,,,,,
2013-03-17,,,,,,,,,,,,
2013-03-24,,,,,,,,,,,,
2013-03-31,,,,,,,,,,,,
2013-04-07,4.0,23.0,20.0,40.0,19.0,28.999999999999996,9.0,28.999999999999996,19.0,0.0,18.0,0.0
2013-04-14,,,,,,,,,,,,
2013-04-21,,,,,,,,,,,,
2013-04-28,,,,,,,,,,,,
2013-05-05,3.0,25.0,20.0,32.0,19.0,28.999999999999996,5.0,36.0,18.0,0.0,27.0,0.0
2013-05-12,,,,,,,,,,,,
2013-05-19,,,,,,,,,,,,
2013-05-26,,,,,,,,,,,,
2013-06-02,2.0,18.0,19.0,26.0,18.0,28.000000000000004,5.0,25.0,18.0,0.0,21.0,0.0
2013-06-09,,,,,,,,,,,,
2013-06-16,,,,,,,,,,,,
2013-06-23,,,,,,,,,,,,
2013-06-30,,,,,,,,,,,,
2013-07-07,1.0,13.0,19.0,22.0,14.000000000000002,20.0,3.0,28.999999999999996,18.0,0.0,23.0,0.0
2013-07-14,,,,,,,,,,,,
2013-07-21,,,,,,,,,,,,
2013-07-28,,,,,,,,,,,,
2013-08-04,2.0,16.0,21.0,20.0,14.000000000000002,23.0,4.0,27.0,19.0,0.0,17.0,0.0
2013-08-11,,,,,,,,,,,,
2013-08-18,,,,,,,,,,,,
2013-08-25,,,,,,,,,,,,
2013-09-01,3.0,35.0,22.0,27.0,17.0,28.999999999999996,7.000000000000001,31.0,20.0,0.0,20.0,30.0
2013-09-08,,,,,,,,,,,,
2013-09-15,,,,,,,,,,,,
2013-09-22,,,,,,,,,,,,
2013-09-29,,,,,,,,,,,,
2013-10-06,6.0,43.0,24.0,37.0,21.0,30.0,7.000000000000001,31.0,24.0,0.0,20.0,0.0
2013-10-13,,,,,,,,,,,,
2013-10-20,,,,,,,,,,,,
2013-10-27,,,,,,,,,,,,
2013-11-03,5.0,47.0,24.0,41.0,23.0,34.0,9.0,37.0,23.0,0.0,20.0,0.0
2013-11-10,,,,,,,,,,,,
2013-11-17,,,,,,,,,,,,
2013-11-24,,,,,,,,,,,,
2013-12-01,6.0,61.0,30.0,64.0,35.0,41.0,10.0,33.0,30.0,0.0,27.0,0.0
2013-12-08,,,,,,,,,,,,
2013-12-15,,,,,,,,,,,,
2013-12-22,,,,,,,,,,,,
2013-12-29,,,,,,,,,,,,
2014-01-05,41.0,63.0,34.0,79.0,41.0,42.0,11.0,34.0,31.0,0.0,24.0,0.0
2014-01-12,,,,,,,,,,,,
2014-01-19,,,,,,,,,,,,
2014-01-26,,,,,,,,,,,,
2014-02-02,14.000000000000002,44.0,28.000000000000004,53.0,28.999999999999996,32.0,9.0,30.0,26.0,0.0,23.0,0.0
2014-02-09,,,,,,,,,,,,
2014-02-16,,,,,,,,,,,,
2014-02-23,,,,,,,,,,,,
2014-03-02,5.0,38.0,25.0,46.0,25.0,31.0,12.0,31.0,25.0,0.0,28.999999999999996,0.0
2014-03-09,,,,,,,,,,,,
2014-03-16,,,,,,,,,,,,
2014-03-23,,,,,,,,,,,,
2014-03-30,,,,,,,,,,,,
2014-04-06,3.0,27.0,24.0,40.0,23.0,30.0,6.0,33.0,22.0,0.0,26.0,0.0
2014-04-13,,,,,,,,,,,,
2014-04-20,,,,,,,,,,,,
2014-04-27,,,,,,,,,,,,
2014-05-04,2.0,23.0,23.0,35.0,19.0,44.0,6.0,28.999999999999996,21.0,0.0,30.0,0.0
2014-05-11,,,,,,,,,,,,
2014-05-18,,,,,,,,,,,,
2014-05-25,,,,,,,,,,,,
2014-06-01,2.0,19.0,22.0,27.0,18.0,28.999999999999996,4.0,28.000000000000004,21.0,0.0,27.0,0.0
2014-06-08,,,,,,,,,,,,
2014-06-15,,,,,,,,,,,,
2014-06-22,,,,,,,,,,,,
2014-06-29,,,,,,,,,,,,
2014-07-06,2.0,15.0,22.0,22.0,16.0,21.0,6.0,45.0,21.0,0.0,17.0,0.0
2014-07-13,,,,,,,,,,,,
2014-07-20,,,,,,,,,,,,
2014-07-27,,,,,,,,,,,,
2014-08-03,2.0,20.0,26.0,21.0,17.0,20.0,6.0,33.0,24.0,0.0,18.0,0.0
2014-08-10,,,,,,,,,,,,
2014-08-17,,,,,,,,,,,,
2014-08-24,,,,,,,,,,,,
2014-08-31,,,,,,,,,,,,
2014-09-07,3.0,36.0,26.0,28.000000000000004,20.0,28.000000000000004,5.0,32.0,23.0,0.0,16.0,0.0
2014-09-14,,,,,,,,,,,,
2014-09-21,,,,,,,,,,,,
2014-09-28,,,,,,,,,,,,
2014-10-05,11.0,56.99999999999999,28.000000000000004,49.0,28.000000000000004,37.0,13.0,34.0,28.999999999999996,0.0,26.0,0.0
2014-10-12,,,,,,,,,,,,
2014-10-19,,,,,,,,,,,,
2014-10-26,,,,,,,,,,,,
2014-11-02,6.0,48.0,28.000000000000004,55.00000000000001,30.0,37.0,10.0,35.0,26.0,0.0,23.0,0.0
2014-11-09,,,,,,,,,,,,
2014-11-16,,,,,,,,,,,,
2014-11-23,,,,,,,,,,,,
2014-11-30,,,,,,,,,,,,
2014-12-07,7.000000000000001,64.0,33.0,74.0,40.0,41.0,10.0,36.0,32.0,0.0,34.0,0.0
2014-12-14,,,,,,,,,,,,
2014-12-21,,,,,,,,,,,,
2014-12-28,,,,,,,,,,,,
2015-01-04,20.0,81.0,40.0,100.0,54.0,52.0,14.000000000000002,50.0,47.0,62.0,44.0,0.0
2015-01-11,,,,,,,,,,,,
2015-01-18,,,,,,,,,,,,
2015-01-25,,,,,,,,,,,,
2015-02-01,18.0,61.0,36.0,80.0,47.0,51.0,15.0,35.0,35.0,0.0,44.0,0.0
2015-02-08,,,,,,,,,,,,
2015-02-15,,,,,,,,,,,,
2015-02-22,,,,,,,,,,,,
2015-03-01,7.000000000000001,44.0,32.0,60.0,35.0,51.0,10.0,30.0,30.0,56.99999999999999,31.0,0.0
2015-03-08,,,,,,,,,,,,
2015-03-15,,,,,,,,,,,,
2015-03-22,,,,,,,,,,,,
2015-03-29,,,,,,,,,,,,
2015-04-05,3.0,34.0,28.999999999999996,48.0,32.0,41.0,8.0,31.0,26.0,0.0,26.0,33.0
2015-04-12,,,,,,,,,,,,
2015-04-19,,,,,,,,,,,,
2015-04-26,,,,,,,,,,,,
2015-05-03,2.0,27.0,27.0,39.0,28.000000000000004,52.0,9.0,27.0,24.0,0.0,35.0,0.0
2015-05-10,,,,,,,,,,,,
2015-05-17,,,,,,,,,,,,
2015-05-24,,,,,,,,,,,,
2015-05-31,,,,,,,,,,,,
