week_date,RSV
2012-01-02,77.0
2012-01-09,90.0
2012-01-16,84.0
2012-01-23,99.0
2012-01-30,105.0
2012-02-06,78.0
2012-02-13,110.0
2012-02-20,98.0
2012-02-27,89.0
2012-03-05,87.0
2012-03-12,70.0
2012-03-19,59.0
2012-03-26,43.0
2012-04-02,42.0
2012-04-09,43.0
2012-04-16,33.0
2012-04-23,29.0
2012-04-30,9.0
2012-05-07,12.0
2012-05-14,5.0
2012-05-21,9.0
2012-05-28,1.0
2012-06-04,4.0
2012-06-11,0.0
2012-06-18,1.0
2012-06-25,2.0
2012-07-02,0.0
2012-07-09,0.0
2012-07-16,0.0
2012-07-23,0.0
2012-07-30,0.0
2012-08-06,0.0
2012-08-13,0.0
2012-08-20,0.0
2012-08-27,0.0
2012-09-03,0.0
2012-09-10,0.0
2012-09-17,0.0
2012-09-24,1.0
2012-10-01,100.0
2012-10-08,139.0
2012-10-15,244.0
2012-10-22,412.0
2012-10-29,720.0
2012-11-05,904.0
2012-11-12,1230.0
2012-11-19,1460.0
2012-11-26,2046.0
2012-12-03,2307.0
2012-12-10,2512.0
2012-12-17,2798.0
2012-12-24,2237.0
2012-12-31,2120.0
2013-01-07,1822.0
2013-01-14,1459.0
2013-01-21,1265.0
2013-01-28,1559.0
2013-02-04,1358.0
2013-02-11,1234.0
2013-02-18,1166.0
2013-02-25,883.0
2013-03-04,726.0
2013-03-11,593.0
2013-03-18,465.0
2013-03-25,392.0
2013-04-01,354.0
2013-04-08,288.0
2013-04-15,180.0
2013-04-22,132.0
2013-04-29,99.0
2013-05-06,83.0
2013-05-13,73.0
2013-05-20,39.0
2013-05-27,27.0
2013-06-03,26.0
2013-06-10,19.0
2013-06-17,22.0
2013-06-24,19.0
2013-07-01,9.0
2013-07-08,27.0
2013-07-15,12.0
2013-07-22,17.0
2013-07-29,13.0
2013-08-05,6.0
2013-08-12,12.0
2013-08-19,9.0
2013-08-26,13.0
2013-09-02,11.0
2013-09-09,16.0
2013-09-16,10.0
2013-09-23,20.0
2013-09-30,44.0
2013-10-07,76.0
2013-10-14,118.0
2013-10-21,183.0
2013-10-28,232.0
2013-11-04,393.0
2013-11-11,549.0
2013-11-18,852.0
2013-11-25,1203.0
2013-12-02,1599.0
2013-12-09,1999.0
2013-12-16,2364.0
2013-12-23,2505.0
2013-12-30,2744.0
2014-01-06,2115.0
2014-01-13,1638.0
2014-01-20,1570.0
2014-01-27,1414.0
2014-02-03,1289.0
2014-02-10,1112.0
2014-02-17,983.0
2014-02-24,891.0
2014-03-03,751.0
2014-03-10,608.0
2014-03-17,542.0
2014-03-24,372.0
2014-03-31,360.0
2014-04-07,299.0
2014-04-14,276.0
2014-04-21,207.0
2014-04-28,177.0
2014-05-05,116.0
2014-05-12,60.0
2014-05-19,94.0
2014-05-26,36.0
2014-06-02,22.0
2014-06-09,14.0
2014-06-16,15.0
2014-06-23,9.0
2014-06-30,15.0
2014-07-07,8.0
2014-07-14,5.0
2014-07-21,7.0
2014-07-28,1.0
2014-08-04,5.0
2014-08-11,2.0
2014-08-18,8.0
2014-08-25,7.0
2014-09-01,5.0
2014-09-08,5.0
2014-09-15,6.0
2014-09-22,8.0
2014-09-29,65.0
2014-10-06,63.0
2014-10-13,101.0
2014-10-20,185.0
2014-10-27,243.0
2014-11-03,336.0
2014-11-10,604.0
2014-11-17,855.0
2014-11-24,1198.0
2014-12-01,1447.0
2014-12-08,1709.0
2014-12-15,1849.0
2014-12-22,1862.0
2014-12-29,1882.0
2015-01-05,1622.0
2015-01-12,1387.0
2015-01-19,1445.0
2015-01-26,1462.0
2015-02-02,1370.0
2015-02-09,1444.0
2015-02-16,1243.0
2015-02-23,1167.0
2015-03-02,949.0
2015-03-09,728.0
2015-03-16,632.0
2015-03-23,458.0
2015-03-30,403.0
2015-04-06,254.0
2015-04-13,217.0
2015-04-20,122.0
2015-04-27,88.0
2015-05-04,94.0
2015-05-11,70.0
2015-05-18,38.0
2015-05-25,24.0
2015-06-01,17.0
2015-06-08,27.0
2015-06-15,11.0
2015-06-22,15.0
2015-06-29,9.0
2015-07-06,20.0
2015-07-13,21.0
2015-07-20,13.0
2015-07-27,6.0
