month_date,au_R03_prescriptions,au_R06_prescriptions
2020-07-01,1203406,2877
2020-08-01,1148920,2876
2020-09-01,1111101,3105
2020-10-01,1138138,3126
2020-11-01,1152011,3106
2020-12-01,1349704,3418
2021-01-01,869600,2615
2021-02-01,913302,2997
2021-03-01,1077868,3870
2021-04-01,1016639,3150
2021-05-01,1101998,3475
2021-06-01,1123703,3865
2021-07-01,1156339,3411
2021-08-01,1142287,3003
2021-09-01,1091084,2952
2021-10-01,1086948,2853
2021-11-01,1136777,3047
2021-12-01,1302548,3063
2022-01-01,961967,2179
2022-02-01,910289,2256
2022-03-01,1080194,2522
2022-04-01,1056937,2232
2022-05-01,1212392,2404
2022-06-01,1229788,2471
2022-07-01,1255688,2384
2022-08-01,1292801,3011
2022-09-01,1204235,2732
2022-10-01,1187860,2701
2022-11-01,1249116,2796
2022-12-01,1389230,2859
2023-01-01,907273,2111
2023-02-01,911022,2304
2023-03-01,1053482,3088
2023-04-01,999920,3060
2023-05-01,1187217,3236
2023-06-01,1153596,2477
2023-07-01,1143426,2359
2023-08-01,1189360,2416
2023-09-01,1128341,2353
2023-10-01,1147726,2398
2023-11-01,1165291,2422
2023-12-01,1282331,2519
2024-01-01,917562,1991
2024-02-01,934217,2066
2024-03-01,989682,2120
2024-04-01,1053320,2347
2024-05-01,1194484,2866
2024-06-01,1144173,2458
