week_date,R03,R06
2014-01-05,32.0,7.0
2014-01-12,21.0,7.2
2014-01-19,29.0,12.0
2014-01-26,23.0,10.0
2014-02-02,29.0,12.0
2014-02-09,31.0,6.0
2014-02-16,18.0,16.2
2014-02-23,35.0,7.0
2014-03-02,16.0,10.1
2014-03-09,16.0,9.2
2014-03-16,36.0,19.0
2014-03-23,27.0,23.6
2014-03-30,29.0,24.5
2014-04-06,27.0,20.0
2014-04-13,22.0,20.3
2014-04-20,24.0,20.0
2014-04-27,16.0,13.0
2014-05-04,24.0,13.9
2014-05-11,15.0,36.0
2014-05-18,42.0,18.5
2014-05-25,20.0,36.6
2014-06-01,19.0,28.1
2014-06-08,19.0,27.5
2014-06-15,20.0,36.8
2014-06-22,11.0,24.0
2014-06-29,6.0,18.0
2014-07-06,8.0,10.0
2014-07-13,27.0,16.2
2014-07-20,12.0,14.4
2014-07-27,8.0,16.0
2014-08-03,11.0,16.5
2014-08-10,3.0,16.9
2014-08-17,3.0,23.6
2014-08-24,14.0,11.3
2014-08-31,12.0,15.0
2014-09-07,9.0,18.6
2014-09-14,28.0,10.2
2014-09-21,44.0,8.0
2014-09-28,2.0,16.0
2014-10-05,81.0,14.0
2014-10-12,21.0,10.5
2014-10-19,28.0,13.1875
2014-10-26,30.0,10.0
2014-11-02,39.0,7.0
2014-11-09,25.0,6.2
2014-11-16,22.0,10.2
2014-11-23,38.0,8.7
2014-11-30,20.0,18.1
2014-12-07,40.0,9.4
2014-12-14,21.0,3.0
2014-12-21,31.0,6.0
2014-12-28,54.0,12.0
2015-01-04,25.25,10.0
2015-01-11,39.0,10.0
2015-01-18,32.0,9.0
2015-01-25,58.0,8.0
2015-02-01,40.0,9.0
2015-02-08,36.0,11.0
2015-02-15,65.0,13.0
2015-02-22,69.0,14.0
2015-03-01,38.0,12.0
2015-03-08,17.0,10.0
2015-03-15,35.0,13.0
2015-03-22,58.0,6.0
2015-03-29,58.0,17.0
2015-04-05,15.0,21.0
2015-04-12,40.0,19.0
2015-04-19,19.0,26.0
2015-04-26,6.0,24.0
2015-05-03,20.0,41.7
2015-05-10,26.0,38.8
2015-05-17,12.0,36.7
2015-05-24,10.0,29.8
2015-05-31,51.0,38.5
2015-06-07,53.0,28.0
2015-06-14,26.0,27.6
2015-06-21,83.0,34.9
2015-06-28,18.0,28.0
2015-07-05,35.0,30.3
2015-07-12,21.0,40.5
2015-07-19,7.0,26.3
2015-07-26,7.0,25.0
2015-08-02,3.0,19.5
2015-08-09,11.0,17.7
2015-08-16,7.0,20.0
2015-08-23,10.0,18.0
2015-08-30,11.0,22.0
2015-09-06,22.0,21.0
2015-09-13,24.0,17.0
2015-09-20,17.0,18.0
2015-09-27,17.0,14.0
2015-10-04,50.0,10.0
2015-10-11,51.0,18.0
2015-10-18,32.0,16.0
2015-10-25,40.0,19.0
2015-11-01,33.0,12.0
2015-11-08,33.0,10.0
