year,week,INF_ALL,INF_A,INF_B,SPEC_PROCESSED_NB,SPEC_RECEIVED_NB,iso_date,group
1995,1,3.0,2.0,1.0,12.0,0.0,1995-01-02,Europe
1995,2,4.0,1.0,3.0,27.0,0.0,1995-01-09,Europe
1995,3,7.0,3.0,4.0,43.0,0.0,1995-01-16,Europe
1995,4,11.0,6.0,5.0,38.0,0.0,1995-01-23,Europe
1995,5,22.0,14.0,8.0,54.0,0.0,1995-01-30,Europe
1995,6,19.0,14.0,5.0,45.0,0.0,1995-02-06,Europe
1995,7,27.0,21.0,6.0,48.0,0.0,1995-02-13,Europe
1995,8,25.0,21.0,4.0,55.0,0.0,1995-02-20,Europe
1995,9,29.0,28.0,1.0,74.0,0.0,1995-02-27,Europe
1995,10,29.0,19.0,10.0,79.0,0.0,1995-03-06,Europe
1995,11,28.0,20.0,8.0,47.0,0.0,1995-03-13,Europe
1995,12,22.0,19.0,3.0,51.0,0.0,1995-03-20,Europe
1995,13,18.0,8.0,10.0,33.0,0.0,1995-03-27,Europe
1995,14,3.0,2.0,1.0,9.0,0.0,1995-04-03,Europe
1995,42,0.0,0.0,0.0,10.0,0.0,1995-10-16,Europe
1995,43,0.0,0.0,0.0,11.0,0.0,1995-10-23,Europe
1995,44,4.0,4.0,0.0,19.0,0.0,1995-10-30,Europe
1995,45,10.0,10.0,0.0,26.0,0.0,1995-11-06,Europe
1995,46,14.0,14.0,0.0,33.0,0.0,1995-11-13,Europe
1995,47,6.0,6.0,0.0,0.0,0.0,1995-11-20,Europe
1995,48,27.0,27.0,0.0,68.0,0.0,1995-11-27,Europe
1995,49,49.0,49.0,0.0,85.0,0.0,1995-12-04,Europe
1995,50,36.0,36.0,0.0,69.0,0.0,1995-12-11,Europe
1995,51,18.0,18.0,0.0,31.0,0.0,1995-12-18,Europe
1996,1,26.0,26.0,0.0,61.0,0.0,1996-01-01,Europe
1996,2,25.0,25.0,0.0,40.0,0.0,1996-01-08,Europe
1996,3,25.0,25.0,0.0,65.0,0.0,1996-01-15,Europe
