week_date,R03,R06,flu_au_positives,flu_au_lagged,flu_eu_positives,R03_lag1,R03_lag4_avg,R06_lag1
2014-02-02,29.0,12.0,19.0,81.0,2517.0,23.0,26.25,10.0
2014-02-09,31.0,6.0,31.0,104.0,2916.0,29.0,25.5,12.0
2014-02-16,18.0,16.2,26.0,99.0,3092.0,31.0,28.0,6.0
2014-02-23,35.0,7.0,16.0,128.0,3094.0,18.0,25.25,16.2
2014-03-02,16.0,10.1,33.0,159.0,2743.0,35.0,28.25,7.0
2014-03-09,16.0,9.2,21.0,116.0,2395.0,16.0,25.0,10.1
2014-03-16,36.0,19.0,21.0,140.0,2034.0,16.0,21.25,9.2
2014-03-23,27.0,23.6,17.0,125.0,1616.0,36.0,25.75,19.0
2014-03-30,29.0,24.5,16.0,125.0,1158.0,27.0,23.75,23.6
2014-04-06,27.0,20.0,21.0,73.0,1039.0,29.0,27.0,24.5
2014-04-13,22.0,20.3,19.0,82.0,847.0,27.0,29.75,20.0
2014-04-20,24.0,20.0,17.0,53.0,420.0,22.0,26.25,20.3
2014-04-27,16.0,13.0,8.0,42.0,334.0,24.0,25.5,20.0
2014-05-04,24.0,13.9,9.0,47.0,217.0,16.0,22.25,13.0
2014-05-11,15.0,36.0,16.0,32.0,210.0,24.0,21.5,13.9
2014-05-18,42.0,18.5,19.0,25.0,187.0,15.0,19.75,36.0
2014-05-25,20.0,36.6,19.0,14.0,143.0,42.0,24.25,18.5
2014-06-01,19.0,28.1,14.0,32.0,62.0,20.0,25.25,36.6
2014-06-08,19.0,27.5,14.0,17.0,44.0,19.0,24.0,28.1
2014-06-15,20.0,36.8,19.0,31.0,29.0,19.0,25.0,27.5
2014-06-22,11.0,24.0,23.0,8.0,27.0,20.0,19.5,36.8
2014-06-29,6.0,18.0,51.0,13.0,12.0,11.0,17.25,24.0
2014-07-06,8.0,10.0,91.0,21.0,9.0,6.0,14.0,18.0
2014-07-13,27.0,16.2,125.0,23.0,5.0,8.0,11.25,10.0
2014-07-20,12.0,14.4,184.0,25.0,8.0,27.0,13.0,16.2
2014-07-27,8.0,16.0,188.0,26.0,7.0,12.0,13.25,14.4
2014-08-03,11.0,16.5,217.0,19.0,11.0,8.0,13.75,16.0
2014-08-10,3.0,16.9,277.0,31.0,2.0,11.0,14.5,16.5
2014-08-17,3.0,23.6,268.0,26.0,7.0,3.0,8.5,16.9
2014-08-24,14.0,11.3,320.0,16.0,11.0,3.0,6.25,23.6
2014-08-31,12.0,15.0,271.0,33.0,4.0,14.0,7.75,11.3
2014-09-07,9.0,18.6,217.0,21.0,7.0,12.0,8.0,15.0
2014-09-14,28.0,10.2,187.0,21.0,17.0,9.0,9.5,18.6
2014-09-21,44.0,8.0,150.0,17.0,9.0,28.0,15.75,10.2
2014-09-28,2.0,16.0,110.0,16.0,8.0,44.0,23.25,8.0
2014-10-05,81.0,14.0,72.0,21.0,17.0,2.0,20.75,16.0
2014-10-12,21.0,10.5,58.0,19.0,23.0,81.0,38.75,14.0
2014-10-19,28.0,13.1875,29.0,17.0,25.0,21.0,37.0,10.5
2014-10-26,30.0,10.0,28.0,8.0,58.0,28.0,33.0,13.1875
2014-11-02,39.0,7.0,24.0,9.0,18.0,30.0,40.0,10.0
2014-11-09,25.0,6.2,25.0,16.0,37.0,39.0,29.5,7.0
2014-11-16,22.0,10.2,26.0,19.0,53.0,25.0,30.5,6.2
2014-11-23,38.0,8.7,8.0,19.0,66.0,22.0,29.0,10.2
2014-11-30,20.0,18.1,6.0,14.0,130.0,38.0,31.0,8.7
2014-12-07,40.0,9.4,12.0,14.0,151.0,20.0,26.25,18.1
2014-12-14,21.0,3.0,15.0,19.0,264.0,40.0,30.0,9.4
2014-12-21,31.0,6.0,7.0,23.0,556.0,21.0,29.75,3.0
2014-12-28,54.0,12.0,14.0,51.0,574.0,31.0,28.0,6.0
2015-01-04,25.25,10.0,3.0,91.0,1068.0,54.0,36.5,12.0
2015-01-11,39.0,10.0,20.0,125.0,2099.0,25.25,32.8125,10.0
2015-01-18,32.0,9.0,23.0,184.0,3245.0,39.0,37.3125,10.0
2015-01-25,58.0,8.0,18.0,188.0,4417.0,32.0,37.5625,9.0
