week_date,R03,R06,flu_au_positives,flu_au_lagged,flu_eu_positives,R03_lag1,R03_lag4_avg,R06_lag1,trends_gripe_es_lag1,trends_resfriado_es_lag1,trends_paracetamol_es_lag1,temp_europe_lag12,humidity_europe_lag0
2014-02-02,29.0,12.0,19.0,81.0,2517.0,23.0,26.25,10.0,14.000000000000002,44.0,28.000000000000004,0.7972972972972973,82.93050193050193
2014-02-09,31.0,6.0,31.0,104.0,2916.0,29.0,25.5,12.0,14.000000000000002,44.0,28.000000000000004,0.7972972972972973,82.97490347490348
2014-02-16,18.0,16.2,26.0,99.0,3092.0,31.0,28.0,6.0,5.0,38.0,25.0,0.7972972972972973,82.36679536679537
2014-02-23,35.0,7.0,16.0,128.0,3094.0,18.0,25.25,16.2,5.0,38.0,25.0,0.7972972972972973,81.92471042471043
2014-03-02,16.0,10.1,33.0,159.0,2743.0,35.0,28.25,7.0,5.0,38.0,25.0,0.7972972972972973,81.76833976833976
2014-03-09,16.0,9.2,21.0,116.0,2395.0,16.0,25.0,10.1,5.0,38.0,25.0,0.7972972972972973,77.59073359073359
2014-03-16,36.0,19.0,21.0,140.0,2034.0,16.0,21.25,9.2,3.0,27.0,24.0,0.7972972972972973,72.1119691119691
2014-03-23,27.0,23.6,17.0,125.0,1616.0,36.0,25.75,19.0,3.0,27.0,24.0,0.7972972972972973,73.07142857142857
2014-03-30,29.0,24.5,16.0,125.0,1158.0,27.0,23.75,23.6,3.0,27.0,24.0,0.7972972972972973,73.05405405405406
2014-04-06,27.0,20.0,21.0,73.0,1039.0,29.0,27.0,24.5,3.0,27.0,24.0,0.7972972972972973,73.62162162162163
2014-04-13,22.0,20.3,19.0,82.0,847.0,27.0,29.75,20.0,3.0,27.0,24.0,0.7972972972972973,74.4015444015444
2014-04-20,24.0,20.0,17.0,53.0,420.0,22.0,26.25,20.3,2.0,23.0,23.0,0.7972972972972973,67.97490347490347
