week,label,actual_demand,forecast,stock,received,shortage,order_placed,holding_cost,shortage_cost,order_cost,week_date
0,Naive,79.0,54.211805555666665,121.0,0.0,0.0,99.0,60.5,0.0,25.0,2018-08-26
1,Naive,36.0,54.211805555666665,85.0,0.0,0.0,36.0,42.5,0.0,25.0,2018-09-02
2,Naive,43.0,54.211805555666665,42.0,0.0,0.0,43.0,21.0,0.0,25.0,2018-09-09
3,Naive,42.0,54.211805555666665,0.0,0.0,0.0,42.0,0.0,0.0,25.0,2018-09-16
4,Naive,47.0,54.211805555666665,52.0,99.0,0.0,47.0,26.0,0.0,25.0,2018-09-23
5,Naive,67.0,54.211805555666665,21.0,36.0,0.0,67.0,10.5,0.0,25.0,2018-09-30
6,Naive,63.0,54.211805555666665,1.0,43.0,0.0,63.0,0.5,0.0,25.0,2018-10-07
7,Naive,56.0,54.211805555666665,0.0,42.0,13.0,43.0,0.0,104.0,25.0,2018-10-14
8,Naive,67.0,54.211805555666665,0.0,47.0,20.0,47.0,0.0,160.0,25.0,2018-10-21
9,Naive,116.0,54.211805555666665,0.0,67.0,49.0,67.0,0.0,392.0,25.0,2018-10-28
10,Naive,46.0,54.211805555666665,17.0,63.0,0.0,46.0,8.5,0.0,25.0,2018-11-04
11,Naive,93.0,54.211805555666665,0.0,43.0,33.0,60.0,0.0,264.0,25.0,2018-11-11
12,Naive,100.0,54.211805555666665,0.0,47.0,53.0,47.0,0.0,424.0,25.0,2018-11-18
13,Naive,67.0,54.211805555666665,0.0,67.0,0.0,67.0,0.0,0.0,25.0,2018-11-25
14,Naive,70.0,54.211805555666665,0.0,46.0,24.0,46.0,0.0,192.0,25.0,2018-12-02
15,Naive,56.0,54.211805555666665,4.0,60.0,0.0,56.0,2.0,0.0,25.0,2018-12-09
16,Naive,98.0,54.211805555666665,0.0,47.0,47.0,51.0,0.0,376.0,25.0,2018-12-16
17,Naive,58.0,54.211805555666665,9.0,67.0,0.0,58.0,4.5,0.0,25.0,2018-12-23
18,Naive,96.0,54.211805555666665,0.0,46.0,41.0,55.0,0.0,328.0,25.0,2018-12-30
19,Naive,54.0,54.211805555666665,2.0,56.0,0.0,54.0,1.0,0.0,25.0,2019-01-06
20,Naive,50.0,54.211805555666665,3.0,51.0,0.0,50.0,1.5,0.0,25.0,2019-01-13
21,Naive,121.0,54.211805555666665,0.0,58.0,60.0,61.0,0.0,480.0,25.0,2019-01-20
22,Naive,93.0,54.211805555666665,0.0,55.0,38.0,55.0,0.0,304.0,25.0,2019-01-27
23,Naive,131.0,54.211805555666665,0.0,54.0,77.0,54.0,0.0,616.0,25.0,2019-02-03
