week_date,shap_R03_lag1,shap_R03_lag4_avg,shap_flu_au_positives,shap_flu_au_lagged,shap_flu_eu_positives,actual_R03,predicted_R03,baseline
2018-08-26,10.040035,-2.6061974,-1.2126081,-0.78942376,-7.6043615,79.0,32.47222,34.64478
2018-09-02,-1.71249,-4.990336,-1.5122116,-0.35111687,-14.932231,36.0,11.146393,34.64478
2018-09-09,2.798706,-0.67332876,-0.09546921,-1.6863468,-13.512113,43.0,21.476227,34.64478
2018-09-16,1.330905,5.6808467,0.59905696,-0.028301839,-18.138382,42.0,24.088903,34.64478
2018-09-23,0.8824084,10.30904,0.3190442,-0.22043239,-16.170755,47.0,29.764084,34.64478
2018-09-30,1.3807709,0.5382252,-0.3922096,-2.3779829,-16.927416,67.0,16.866167,34.64478
2018-10-07,-1.1526245,8.680473,-1.2730294,-0.7266125,-9.18474,63.0,30.988247,34.64478
2018-10-14,-3.3510964,2.832627,3.1527748,1.749832,4.7850785,56.0,43.813995,34.64478
2018-10-21,0.40349984,6.6748924,2.851544,2.1827056,4.5226383,67.0,51.28006,34.64478
2018-10-28,-3.7239723,5.673574,-0.47790524,-0.9309272,2.3142319,116.0,37.49978,34.64478
2018-11-04,-1.6945472,5.657857,-0.8145476,-0.26947638,1.0724651,46.0,38.59653,34.64478
2018-11-11,2.1242445,10.937153,2.3918183,0.03824312,3.3996446,93.0,53.53588,34.64478
2018-11-18,-2.5098238,6.85373,1.8020682,-1.8045665,1.7007178,100.0,40.686905,34.64478
2018-11-25,-1.4616019,6.2013364,2.3857536,-2.0498734,1.2156118,67.0,40.936005,34.64478
2018-12-02,-2.4627228,6.3683095,1.7102133,-2.231267,-0.104550846,70.0,37.924763,34.64478
2018-12-09,-0.88849086,6.203037,1.6470566,-2.7290452,0.24346115,56.0,39.120796,34.64478
2018-12-16,0.9686988,7.914706,0.12531328,0.6177126,1.8542684,98.0,46.12548,34.64478
2018-12-23,-1.6971419,6.160264,-0.34630355,-0.49637735,0.67977136,58.0,38.944992,34.64478
2018-12-30,1.7904749,8.575238,-3.8606012,-2.515557,4.994212,96.0,43.628548,34.64478
2019-01-06,-1.5912513,5.955243,-3.5592334,-0.6485254,4.3090878,54.0,39.1101,34.64478
2019-01-13,2.1977012,8.096346,-4.065969,-2.6877418,9.661486,50.0,47.846603,34.64478
2019-01-20,2.268763,6.050043,-2.6568868,-3.0312657,5.1988816,121.0,42.47431,34.64478
2019-01-27,-1.4964583,3.6089764,-2.0306616,-1.7647822,8.107022,93.0,41.068874,34.64478
2019-02-03,-2.103302,2.9670098,-2.0067058,-0.32708368,7.404474,131.0,40.57917,34.64478
2019-02-10,-1.493172,3.5782251,-1.9605229,-1.7473651,8.046931,62.0,41.068874,34.64478
2019-02-17,0.7333919,4.336405,-3.1929255,-2.1645982,8.784025,35.0,43.141075,34.64478
2019-02-24,1.4762274,6.219595,-2.1868682,-1.05746,7.8333817,31.0,46.929657,34.64478
2019-03-03,1.3425342,7.0075917,-2.2607784,-2.2656572,4.964066,57.0,43.432537,34.64478
2019-03-10,0.5835487,2.7382588,-4.7117715,-2.268067,9.984812,26.0,40.97156,34.64478
2019-03-17,-6.39268,5.3941145,-1.7985145,-1.86806,-0.1152523,88.0,29.864388,34.64478
2019-03-24,0.2310883,10.164852,-3.1879268,-2.6002855,5.1713624,74.0,44.42387,34.64478
2019-03-31,0.23609494,6.6123414,-3.6952846,-2.7327914,5.247876,53.0,40.313015,34.64478
2019-04-07,0.6575547,8.71104,-0.6810246,-1.9719453,-2.7339375,51.0,38.626465,34.64478
2019-04-14,3.0799134,8.624902,-0.08684913,-3.7267306,0.22016364,42.0,42.75618,34.64478
2019-04-21,0.8473923,5.0203843,0.2696051,-3.688486,-0.1886494,36.0,36.905025,34.64478
2019-04-28,3.2647855,6.350792,-2.1208892,-1.8228971,2.4391568,62.0,42.75573,34.64478
2019-05-05,-0.42362252,2.948555,0.15385811,-0.6117227,-0.7216728,64.0,35.990173,34.64478
2019-05-12,-1.2984948,1.4709681,-0.28631848,-1.1943797,0.2606951,123.0,33.597248,34.64478
2019-05-19,-1.9420583,5.603627,0.4033008,0.13742629,1.3397932,61.29166667,40.186867,34.64478
