fold,train_weeks,test_start,test_end,A_MAE,A_RMSE,A_MAPE,A_R2,B_MAE,B_RMSE,B_MAPE,B_R2
1,104,2016-01-31,2016-02-21,22.908995151519775,24.80159340832758,38.91775983628102,-1.8785915675554161,19.764652252197266,22.043154042501865,31.079887550095105,-1.27388424751783
2,108,2016-02-28,2016-03-20,28.54161834716797,30.46127985687996,59.073632097537285,-1.4466435610261326,23.231422424316406,27.350758440070727,38.2406210999951,-0.9724824976851685
3,112,2016-03-27,2016-04-17,14.479997634887695,17.02132665472288,24.17177317296145,-2.255343382997524,19.093979835510254,19.7341324403825,32.50058907134121,-3.375685204208504
4,116,2016-04-24,2016-05-15,17.08657693862915,19.713922346936076,100.69162238590302,-1.7722780868552874,6.338034629821777,8.493646624338684,41.17379311909752,0.48538897562807015
5,120,2016-05-22,2016-06-12,11.644776344299316,12.797580902557547,34.288909817005205,-1.0666003401577995,13.334993362426758,14.312449093414216,37.32067719256162,-1.584810082669696
6,124,2016-06-19,2016-07-10,9.805788516998291,13.09382162282667,43.86630476639212,-0.04861262807586075,17.60292148590088,21.323871711759157,87.14526187461864,-1.7810856561441128
7,128,2016-07-17,2016-08-07,14.172030925750732,17.80064559639705,61.984842610981794,0.156578316689989,18.749016284942627,21.793125857250608,79.46283150012225,-0.2641898775710265
8,132,2016-08-14,2016-09-04,8.38133430480957,8.936490602390354,54.640115084408734,-8.753998691494486,10.072845458984375,10.698234668247045,65.27663682188306,-12.978897711985704
9,136,2016-09-11,2016-10-02,4.939558506011963,5.358330343057368,15.006087126885648,-0.09377920248873473,14.264617204666138,14.375745709261103,44.77152647677888,-6.87284055989863
10,140,2016-10-09,2016-10-30,15.124512672424316,17.331326593673356,37.80491574781268,-1.6305408341243068,17.256279468536377,18.74763140828459,36.023514764924656,-2.0780399204895357
11,144,2016-11-06,2016-11-27,24.596044540405273,27.01103693079991,80.92156942358608,-6.845119527710072,16.996310710906982,17.72295161478194,45.79524182826066,-2.3774517627946428
12,148,2016-12-04,2016-12-25,26.861385345458984,33.33543662010787,41.0308982610929,-1.5187733892125879,18.89364528656006,22.82002589256616,27.48686196985143,-0.1803452766395015
13,152,2017-01-01,2017-01-22,7.6411148690405275,10.85009817488769,16.656933186992013,-0.6233988055787685,20.584062733573,23.276420611535666,52.12909832165581,-6.47119857014431
14,156,2017-01-29,2017-02-19,17.44372161396118,21.016840174051378,52.15146959476786,-1.0754234040011879,12.451882681923827,14.952725185170795,46.1900784253736,-0.050539943474821936
15,160,2017-02-26,2017-03-19,15.535954475402832,18.246258073753427,52.22561939557393,-1.865419547662289,12.71745491027832,14.813495212950732,39.71418374114567,-0.8886682338815644
16,164,2017-03-26,2017-04-16,20.98319959640503,25.12106903811783,47.4767562812809,-1.9697322805547404,14.739425659179688,18.67905755399491,33.29265404517215,-0.6419161934374322
